game_id,season,week,home_team,away_team,conference,attendance,stadium_capacity,attendance_rate,home_elo,away_elo,recent_all_win_pct,season_wins,season_losses,season_win_pct,prior_season_win_pct,prior_season_att_rate,conference_game,opponent_ranked,opponent_rank,fcs_opponent,cupcake,marquee_noncon,opponent_away_draw,expected_win_prob,kickoff_time,non_weekend_game,bye_week_before,new_coach,interim_coach,top50_passer,top50_rusher,top50_receiver,temperature,precip_severity,bad_weather,severe_weather,rivalry,national_tv,new_conference,spread,sp_diff,day_of_week,team,season_str
400756904,2015,1,UCLA,Virginia,Big Ten,68615.0,88565.0,0.7747417151244849,1690.0,1494.0,0.5,0,0,0.5,0.5,0.85,0,0,0,0,0,0,0.8081705528422417,0.6262119578350228,Morning,0,0,0,0,0,0,0,77.0,0,0,0,0,1,0,-17.5,17.200000000000003,Saturday,UCLA,2015
400763495,2015,1,Nebraska,BYU,Big Ten,89959.0,85458.0,1.0526691474174448,1673.0,1569.0,0.5,0,0,0.5,0.5,0.85,0,0,0,0,0,1,0.8445280191262362,0.5179922280289649,Afternoon,0,0,0,0,0,0,0,90.5,0,0,0,0,1,0,-5.0,2.4000000000000004,Saturday,Nebraska,2015
400763406,2015,1,Texas Tech,Sam Houston,Big 12,60073.0,60454.0,0.9936976874979323,1613.0,1565.0,0.5,0,0,0.5,0.5,0.85,0,1,4,1,1,0,0.8854561486954203,0.5,Afternoon,0,0,0,0,0,0,0,89.2,0,0,0,0,0,0,-7.5,3.4000000000000004,Saturday,Texas Tech,2015
400603834,2015,1,Missouri,Southeast Missouri State,SEC,64670.0,71168.0,0.9086949190647482,1613.0,1565.0,0.5,0,0,0.5,0.5,0.85,0,0,0,1,1,0,0.8854561486954203,0.5,Afternoon,0,0,0,0,0,0,0,90.0,0,0,0,0,0,0,-7.5,3.4000000000000004,Saturday,Missouri,2015
400763472,2015,1,Indiana,Southern Illinois,Big Ten,36071.0,52656.0,0.6850311455484656,1613.0,1565.0,0.5,0,0,0.5,0.5,0.85,0,0,0,1,1,0,0.8854561486954203,0.5,Afternoon,0,0,0,0,0,0,0,91.0,0,0,0,0,0,0,-7.5,3.4000000000000004,Saturday,Indiana,2015
400756890,2015,1,California,Grambling,ACC,60606.0,62467.0,0.9702082699665423,1613.0,1565.0,0.5,0,0,0.5,0.5,0.85,0,0,0,1,1,0,0.8854561486954203,0.5,Afternoon,0,0,0,0,0,0,0,75.6,0,0,0,0,0,0,-43.0,3.4000000000000004,Saturday,California,2015
400756900,2015,1,Miami,Bethune-Cookman,ACC,43467.0,64767.0,0.6711288156005373,1613.0,1565.0,0.5,0,0,0.5,0.5,0.85,0,1,25,1,1,0,0.8854561486954203,0.5,Evening,0,0,0,0,0,0,0,84.0,0,0,0,0,0,0,-39.0,3.4000000000000004,Saturday,Miami,2015
400756901,2015,1,NC State,Troy,ACC,57451.0,58000.0,0.9905344827586207,1543.0,1210.0,0.5,0,0,0.5,0.5,0.85,0,0,0,0,1,0,0.8854561486954203,0.6219892087924072,Evening,0,0,0,0,0,0,0,80.1,0,0,0,0,0,0,-26.0,16.6,Saturday,NC State,2015
400603832,2015,1,Kentucky,Louisiana,SEC,62933.0,61000.0,1.031688524590164,1401.0,1453.0,0.5,0,0,0.5,0.5,0.85,0,0,0,0,1,0,0.8854561486954203,0.550823864967254,Evening,0,0,0,0,0,0,0,89.1,0,0,0,0,0,0,-17.0,6.8,Saturday,Kentucky,2015
400763404,2015,1,Oklahoma,Akron,SEC,85370.0,86112.0,0.99138331475288,1664.0,1314.0,0.5,0,0,0.5,0.5,0.85,0,0,0,0,0,0,0.8854561486954203,0.669295402777446,Evening,0,0,0,0,0,0,0,91.4,0,0,0,0,0,0,-31.0,23.5,Saturday,Oklahoma,2015
400763402,2015,1,Kansas State,South Dakota,Big 12,53297.0,50000.0,1.06594,1613.0,1565.0,0.5,0,0,0.5,0.5,0.85,0,0,0,1,1,0,0.8854561486954203,0.5,Evening,0,0,0,0,0,0,0,93.0,0,0,0,0,0,0,-7.5,3.4000000000000004,Saturday,Kansas State,2015
400763407,2015,1,West Virginia,Georgia Southern,Big 12,55182.0,60000.0,0.9197,1590.0,1491.0,0.5,0,0,0.5,0.5,0.85,0,0,0,0,0,0,0.8854561486954203,0.5419014940139564,Evening,0,0,0,0,0,0,0,80.1,0,0,0,0,0,0,-16.0,5.6000000000000005,Saturday,West Virginia,2015
400603830,2015,1,Florida,New Mexico State,SEC,90227.0,88548.0,1.0189614672268148,1661.0,1100.0,0.5,0,0,0.5,0.5,0.85,0,0,0,0,1,0,0.8854561486954203,0.7255179606769018,Evening,0,0,0,0,0,0,0,77.0,0,0,0,0,0,0,-34.0,32.400000000000006,Saturday,Florida,2015
400763400,2015,1,Iowa State,Northern Iowa,Big 12,61500.0,61500.0,1.0,1613.0,1565.0,0.5,0,0,0.5,0.5,0.85,0,1,6,1,1,0,0.8854561486954203,0.5,Evening,0,0,0,0,0,0,0,82.0,0,0,0,0,0,0,-8.5,3.4000000000000004,Saturday,Iowa State,2015
400756886,2015,1,Oregon,Eastern Washington,Big Ten,58128.0,54000.0,1.0764444444444445,1613.0,1565.0,0.5,0,0,0.5,0.5,0.85,0,1,7,1,1,0,0.8854561486954203,0.5,Afternoon,0,0,0,0,0,0,0,69.1,0,0,0,0,0,0,-35.0,3.4000000000000004,Saturday,Oregon,2015
400764858,2015,1,Houston,Tennessee Tech,Big 12,30479.0,40000.0,0.761975,1613.0,1565.0,0.5,0,0,0.5,0.5,0.85,0,0,0,1,1,0,0.8854561486954203,0.5,Evening,0,0,0,0,0,0,0,87.8,0,0,0,0,0,0,-37.5,3.4000000000000004,Saturday,Houston,2015
400764856,2015,1,Cincinnati,Alabama A&M,Big 12,39095.0,40000.0,0.977375,1613.0,1565.0,0.5,0,0,0.5,0.5,0.85,0,0,0,1,1,0,0.8854561486954203,0.5,Evening,0,0,0,0,0,0,0,73.9,0,0,0,0,0,0,-7.5,3.4000000000000004,Saturday,Cincinnati,2015
400756899,2015,1,Florida State,Texas State,ACC,80917.0,67277.0,1.2027438797806085,1779.0,1379.0,0.5,0,0,0.5,0.5,0.85,0,0,0,0,1,0,0.8854561486954203,0.761514372566819,Night,0,0,0,0,0,0,0,78.1,0,0,0,0,0,0,-27.5,38.7,Saturday,Florida State,2015
